;VehiID;DevIDNO;DateTime;Speed;Heading;lat;lon;geometry;sp_diff;dist;trjid;x;y;time;time_interval
32333;20;205130;2021-05-02 10:34:02;68.0;210;22.34119;114.20449;POINT (839112.7801708262 822457.1623976025);68.0;3987.055568701128;78;839112.7801708262;822457.1623976025;38042;
32334;20;205130;2021-05-02 10:34:17;83.0;174;22.338472;114.203498;POINT (839010.6441356238 822156.1663419987);15.0;317.85278852933044;78;839010.6441356238;822156.1663419987;38057;15.0
32335;20;205130;2021-05-02 10:34:32;75.0;158;22.335578;114.204582;POINT (839122.3718077339 821835.7196133579);-8.0;339.36584773919043;78;839122.3718077339;821835.7196133579;38072;15.0
32336;20;205130;2021-05-02 10:34:47;57.0;181;22.332981;114.205268;POINT (839193.0960631625 821548.1542676875);-18.0;296.1346793884496;78;839193.0960631625;821548.1542676875;38087;15.0
32337;20;205130;2021-05-02 10:35:02;49.0;355;22.332784;114.206352;POINT (839304.7733864257 821526.3609612139);-8.0;113.78388610989072;78;839304.7733864257;821526.3609612139;38102;15.0
32338;20;205130;2021-05-02 10:35:17;71.0;309;22.334707;114.204643;POINT (839128.6736687387 821739.2706703645);22.0;276.2999363373337;78;839128.6736687387;821739.2706703645;38117;15.0
32339;20;205130;2021-05-02 10:35:32;78.0;247;22.334901;114.201797;POINT (838835.4804520267 821760.7019219276);7.0;293.9754426299602;78;838835.4804520267;821760.7019219276;38132;15.0
32340;20;205130;2021-05-02 10:35:47;69.0;249;22.333894;114.198936;POINT (838540.7622816385 821649.1458766094);-9.0;315.1246597841045;78;838540.7622816385;821649.1458766094;38147;15.0
32341;20;205130;2021-05-02 10:36:02;58.0;213;22.332374;114.196968;POINT (838338.0438692711 821480.8004692588);-11.0;263.50508702639223;78;838338.0438692711;821480.8004692588;38162;15.0
32342;20;205130;2021-05-02 10:36:17;55.0;225;22.331125;114.195121;POINT (838147.7829615797 821342.4683915037);-3.0;235.23387666655503;78;838147.7829615797;821342.4683915037;38177;15.0
32343;20;205130;2021-05-02 10:36:32;62.0;226;22.329431;114.193328;POINT (837963.0872284913 821154.8622787988);7.0;263.26520344567217;78;837963.0872284913;821154.8622787988;38192;15.0
32344;20;205130;2021-05-02 10:36:47;60.0;244;22.327886;114.191368;POINT (837761.180558513 820983.7562204382);-2.0;264.65748919960987;78;837761.180558513;820983.7562204382;38207;15.0
32345;20;205130;2021-05-02 10:37:02;56.0;242;22.32699;114.189224;POINT (837540.307066525 820884.5181245947);-4.0;242.1431376885021;78;837540.307066525;820884.5181245947;38222;15.0
32346;20;205130;2021-05-02 10:37:17;40.0;234;22.325803;114.187278;POINT (837339.8318316702 820753.060762034);-16.0;239.73184594765144;78;837339.8318316702;820753.060762034;38237;15.0
