t,id,speed,trjid_u,trjid_n
37800.0,_13440001214717200,60.602547266280006,['78'],1
37800.0,_13440001366042201,75.0,['78'],1
37800.0,_13440001366042202,65.082053985228,['78'],1
37800.0,_13440001373611201,65.082053985228,['78'],1
37800.0,_13440001373611202,65.082053985228,['78'],1
37800.0,_13440001479697201,76.42739091460801,['78'],1
37800.0,_13440001479697202,76.42739091460801,['78'],1
37800.0,_13440001764251200,68.0,['78'],1
37800.0,_13440003319146200,60.602547266280006,['78'],1
37800.0,_13440003319149201,60.602547266280006,['78'],1
37800.0,_13440003319149202,60.602547266280006,['78'],1
37800.0,_13440003319956200,65.082053985228,['78'],1
37800.0,_13440003322036201,57.0,['78'],1
37800.0,_13440003369484201,83.0,['78'],1
37800.0,_13440003369484202,76.42739091460801,['78'],1
37800.0,_13440003369484203,76.42739091460801,['78'],1
38100.0,_13440001150536201,68.87415084996,['78'],1
38100.0,_13440001150536202,68.87415084996,['78'],1
38100.0,_13440001236113200,56.840110248024004,['78'],1
38100.0,_13440001284651200,60.0,['78'],1
38100.0,_13440001293298201,42.87735157629201,['78'],1
38100.0,_13440001293298202,78.0,['78'],1
38100.0,_13440001293298203,55.8966849276824,['78'],1
38100.0,_13440001293299200,55.8966849276824,['78'],1
38100.0,_13440001313827200,55.8966849276824,['78'],1
38100.0,_13440001338222201,40.53759292421041,['78'],1
38100.0,_13440001338222202,40.53759292421041,['78'],1
38100.0,_13440001348448201,68.87415084996,['78'],1
38100.0,_13440001348448202,68.87415084996,['78'],1
38100.0,_13440001348454201,43.7798030746632,['78'],1
38100.0,_13440001348454202,43.7798030746632,['78'],1
38100.0,_13440001348455200,43.7798030746632,['78'],1
38100.0,_13440001348460201,43.7798030746632,['78'],1
38100.0,_13440001348460202,56.0,['78'],1
38100.0,_13440001355048200,32.051609615400004,['78'],1
38100.0,_13440001369620201,55.0,['78'],1
38100.0,_13440001369620202,58.37273243975759,['78'],1
38100.0,_13440001503606200,15.5,['78'],1
38100.0,_13440001539610200,61.820248160769616,['78'],1
38100.0,_13440001626597200,60.689938649232005,['78'],1
38100.0,_13440001633383200,64.05375700348799,['78'],1
38100.0,_13440001633385200,64.05375700348799,['78'],1
38100.0,_13440001660617201,63.0,['78'],1
38100.0,_13440001660617202,42.620552185608005,['78'],1
38100.0,_13440001660617203,42.620552185608005,['78'],1
38100.0,_13440001660619200,42.620552185608005,['78'],1
38100.0,_13440001679745201,69.0,['78'],1
38100.0,_13440001679745202,40.53759292421041,['78'],1
38100.0,_13440001722303201,56.840110248024004,['78'],1
38100.0,_13440001722303202,56.840110248024004,['78'],1
38100.0,_13440001860303200,58.0,['78'],1
38100.0,_13440002152276200,61.820248160769616,['78'],1
38100.0,_13440002264034201,12.0,['78'],1
38100.0,_13440002264034202,5.468188337649473,['78'],1
38100.0,_13440003318518200,32.051609615400004,['78'],1
38100.0,_13440003318555201,64.05375700348799,['78'],1
38100.0,_13440003318555202,64.05375700348799,['78'],1
38100.0,_13440003322036202,49.0,['78'],1
38100.0,_13440003326237200,64.05375700348799,['78'],1
38100.0,_13440003326459200,40.53759292421041,['78'],1
38100.0,_13440003332989200,61.820248160769616,['78'],1
38100.0,_13440003333643201,61.820248160769616,['78'],1
38100.0,_13440003333643202,78.0,['78'],1
38100.0,_13440003334201200,60.689938649232005,['78'],1
38100.0,_13440003340425200,66.0,['78'],1
38100.0,_13440003342435200,5.468188337649473,['78'],1
38100.0,_13440003345479200,61.820248160769616,['78'],1
38100.0,_13440003346311200,60.689938649232005,['78'],1
38100.0,_13440003355486200,62.0,['78'],1
38100.0,_13440003355721201,35.120737262328,['78'],1
38100.0,_13440003355721202,35.120737262328,['78'],1
38100.0,_13440003369256201,70.0,['78'],1
38100.0,_13440003369256202,42.87735157629201,['78'],1
38100.0,_13440003369589201,58.37273243975759,['78'],1
38100.0,_13440003369589202,58.37273243975759,['78'],1
38100.0,_13440003369673200,56.840110248024004,['78'],1
38100.0,_13440003370160200,71.0,['78'],1
38400.0,_13440001142161201,47.34845573114401,['78'],1
38400.0,_13440001142161202,47.34845573114401,['78'],1
38400.0,_13440001142167200,7.0,['78'],1
38400.0,_13440001155457200,31.0,['78'],1
38400.0,_13440001158735200,0.0,['78'],1
38400.0,_13440001158752200,33.0,['78'],1
38400.0,_13440001170251200,41.0,['78'],1
38400.0,_13440001177099200,28.7983188284112,['78'],1
38400.0,_13440001177291200,28.7983188284112,['78'],1
38400.0,_13440001179876200,27.0,['78'],1
38400.0,_13440001253032200,35.0,['78'],1
38400.0,_13440001282674200,31.918546750271997,['78'],1
38400.0,_13440001316673200,6.444048880416,['78'],1
38400.0,_13440001367365200,31.918546750271997,['78'],1
38400.0,_13440001372864200,23.0,['78'],1
38400.0,_13440001477234200,28.7983188284112,['78'],1
38400.0,_13440001486140200,31.918546750271997,['78'],1
38400.0,_13440001509384200,43.0,['78'],1
38400.0,_13440001515129200,7.87431160884,['78'],1
38400.0,_13440001517717200,31.918546750271997,['78'],1
38400.0,_13440001613138200,10.0,['78'],1
